created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 07 12:52:17 +0000 2023;1710639179024290282;"@IND0_Update @mediaindonesia @indozonemedia Rempang Aman karena ada pak bahlil yang kerjanya sat set, menggandeng masyarakat juga dengan hangat. #DukungBahlil";0;0;0;0;in;446702105;1710619686176723434;aBTS_twt;https://twitter.com/aBTS_twt/status/1710639179024290282
Sat Oct 07 12:52:05 +0000 2023;1710639129644707970;"Ada apa dengan Rempang ?";0;0;0;0;in;1196838023805014016;1710639129644707970;Ruff_Aldine;https://twitter.com/Ruff_Aldine/status/1710639129644707970
Sat Oct 07 12:51:34 +0000 2023;1710638998987870378;"Besar dukungan kepada Bahlil terhadap Eco City yang lebih baik . Rempang Aman  #DukungBahlil https://t.co/6JUON4hzgz";0;0;0;0;in;1638081894498836480;1710638998987870378;poponini90;https://twitter.com/poponini90/status/1710638998987870378
Sat Oct 07 12:50:53 +0000 2023;1710638827860345174;"@IND0_Update @mediaindonesia @indozonemedia Bukan tanpa alasan, pembangunan ini untuk menciptakan Rempang Aman  #DukungBahlil";0;0;0;0;in;1573848689361448960;1710619686176723434;twiterpicker;https://twitter.com/twiterpicker/status/1710638827860345174
Sat Oct 07 12:50:28 +0000 2023;1710638725645164902;"@bahlillahadalia Hahaha bahlulditeriako maling di Rempang 😀😀😀😀🤪🤪😀Lihat video Harly Baritto! #TikTok https://t.co/AuENPminvE";0;0;0;0;tl;1388985354;1710638725645164902;hm_dermawanzain;https://twitter.com/hm_dermawanzain/status/1710638725645164902
Sat Oct 07 12:50:24 +0000 2023;1710638706208678054;"@blank0429 @MprAldo @France24_en Tolak penggusuran Rempang !!! #TolaPenggusuranRempang";0;0;1;1;in;1302007596191297542;1710602649761128872;didik_bung;https://twitter.com/didik_bung/status/1710638706208678054
Sat Oct 07 12:50:22 +0000 2023;1710638698356937181;"Dengan melibatkan warga setempat dipercaya bahwa Rempang Aman, sejahtera dan bisa berkembang dengan ramah lingkungan  #DukungBahlil  https://t.co/XXzzCefcyx";0;0;0;0;in;1573848689361448960;1710638698356937181;twiterpicker;https://twitter.com/twiterpicker/status/1710638698356937181
Sat Oct 07 12:50:18 +0000 2023;1710638681906958339;"Usaha tidak akan mengkhianati hasil proyek Rempang aman   #DukungBahlil  https://t.co/ebKyAIyTkK";0;0;0;0;in;1664891806897823746;1710638681906958339;garingfandi;https://twitter.com/garingfandi/status/1710638681906958339
Sat Oct 07 12:49:34 +0000 2023;1710638495306559642;"@floreskekinian2 @MataNajwa @tvOneNews @karniilyas Pantas jika DPR dan publik mengapresiasi langkah menteri @bahlillahadalia selesaikan kasus rempang lewat pendekatan humanis.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686289519451271170;1710619730703450570;AyraWarda;https://twitter.com/AyraWarda/status/1710638495306559642
Sat Oct 07 12:49:27 +0000 2023;1710638467691270515;"Agar tercipta kekondusifitasan di Pulau Rempang, sebaiknya warga setempat diikutsertakan dalam proses pembangunan eco city di Rempang Aman  #DukungBahlil https://t.co/qxYoWsKg01";0;0;0;0;in;1573848689361448960;1710638467691270515;twiterpicker;https://twitter.com/twiterpicker/status/1710638467691270515
Sat Oct 07 12:48:34 +0000 2023;1710638247066685829;"Ayo pak percepat masalah rempang dan proyek Rempang Aman dan selwsai dengan baik #DukungBahlil https://t.co/qp1faYJAS8";0;0;0;0;in;1664891806897823746;1710638247066685829;garingfandi;https://twitter.com/garingfandi/status/1710638247066685829
Sat Oct 07 12:48:31 +0000 2023;1710638232839626819;"@CSzipel_ @aniesbaswedan @ganjarpranowo @prabowo Nggak sabar pengin lihat Rempang Eco City.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686289519451271170;1710619730875404427;AyraWarda;https://twitter.com/AyraWarda/status/1710638232839626819
Sat Oct 07 12:47:46 +0000 2023;1710638042153902521;"@Ivatcci @jokowi @bahlillahadalia @bkpm Dari investasi rempang untuk warga rempang dan masyarakat Indonesia.  Rempang Aman  #DukungBahlil";0;0;0;0;in;1686289519451271170;1710618473209241755;AyraWarda;https://twitter.com/AyraWarda/status/1710638042153902521
Sat Oct 07 12:47:29 +0000 2023;1710637974717968460;"@IND0_Update @mediaindonesia @indozonemedia Semoga proyek Rempang Aman dan segera selesai ya pak #DukungBahlil";0;0;0;0;in;1664891806897823746;1710619686176723434;garingfandi;https://twitter.com/garingfandi/status/1710637974717968460
