created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url,,,,,,,,,,,
"Thu Oct 05 22:09:41 +0000 2023;1710054677583114414;""Bahlil Klaim Tak Ada Masalah di Pulau Rempang Walau Penolakan Terus Meluas #TempoNasional https://t.co/M8WMPd6Mle"";8;98;13;41;in;18129942;1710054677583114414;tempodotco;https://twitter.com/tempodotco/status/1710054677583114414",,,,,,,,,,,
"Thu Oct 05 22:07:44 +0000 2023;1710054189466869821;""Reaksi Melayu 5 Negara BP Batam", Bahlil Lahadalia Muhammad Rudi Pembohong," Status Pengelolaan Pulau Rempang! https://t.co/DVPCkUwJTR"";0;0;0;0;in;1636627729675337734;1710054189466869821;posaktualcom;https://twitter.com/posaktualcom/status/1710054189466869821",,,,,,,,,
"Thu Oct 05 22:05:37 +0000 2023;1710053654017736958;""@dwioktariyadi Lalu bagaimana solusi rempang ini  ?  Bagaimana Pancasila bisa menyelesaikan rempang ini"," tolong dijawab..."";0;2;0;3;in;1577895217977778176;1709852069937442830;Sutardi007;https://twitter.com/Sutardi007/status/1710053654017736958",,,,,,,,,,
"Thu Oct 05 22:04:00 +0000 2023;1710053248411828411;""Konflik terjadi pada proyek strategi nasional karena minimnya transparensi seperti rencana joint dengan pabrik gelas China di Rempang. Dulu perusahaan minyak dan tambang AS selalu transparan dengan rakyat setempat", bantu bangun rumah sakit," jalanan dll. https://t.co/HM0swkR2L1 https://t.co/cE9yHydFji"";0;0;0;0;in;1635358418562338819;1710053248411828411;GagahSamudra2;https://twitter.com/GagahSamudra2/status/1710053248411828411",,,,,,,,,
"Thu Oct 05 22:00:55 +0000 2023;1710052471152820642;""Semoga proyek yg diandaikan para pemikir kiri Arab setengah abad silam -meskipun belum matang- tdk hanya sebatas rangkaian seremonial reunian atas nama identitas Arab yg mesti berulang.   Andai saja kendeng", wadas," &amp  rempang mampu menghangatkan dinginnya bumi pertiwi. https://t.co/lVI6ZuFcTE"";0;0;0;2;in;1149840323939409920;1710052471152820642;Anwarsuar;https://twitter.com/Anwarsuar/status/1710052471152820642",,,,,,,,,
"Thu Oct 05 21:45:52 +0000 2023;1710048686183534958;""@VIVAcoid Setelah Rempang ke berikutnya nih mndalika... Dengan janji 2x manis 😀😀😀"";0;0;0;2;in;962338128;1709834197249163504;wieprie13a;https://twitter.com/wieprie13a/status/1710048686183534958",,,,,,,,,,,
"Thu Oct 05 21:45:50 +0000 2023;1710048676356161919;""Purworejo area:pemilu 2024",data masih terus ditelusur intensif,ada isue maraknya surat tanah ganda dan di jual pada cukong tanpa setahu pemilik.kasus seperti Rempang,Wadas,"dan lain daerah kemungkinan berawal dari ini."";0;0;0;0;in;1560870618081685505;1710048676356161919;Donisetiyawana1;https://twitter.com/Donisetiyawana1/status/1710048676356161919",,,,,,,
"Thu Oct 05 21:40:05 +0000 2023;1710047228939718845;""Bg warga IKN KONSESI LAHAN 190 th utk investor China itu ancaman sperti yg terjdi di Rempang", Krn blum tentu tanah mrk bersurat ," hukum tanah yg tak pasti n mafia tnah itu  ancaman. NJOP akan tinggi n rakyat gak kuat bayar lalu dijual. Org China akan dominasi Krn dibeking negara https://t.co/iv96xCW168"";0;0;0;1;in;1526964822507565056;1710047228939718845;LukmanSadega16;https://twitter.com/LukmanSadega16/status/1710047228939718845",,,,,,,,,
"Thu Oct 05 21:12:57 +0000 2023;1710040402404028515;""@MichelAdam7__ Emangnya terasa hasilnya ? Yg terasa oleh rakyat adalah beras mahal tapi petani tak menikmati", cari kerja susah  Jakarta, jelas terlihat hasil pembangunannya," semua kelompok agama difasilitasi  Buruh diperhatikan nasibnya  Pendemo diajak berunding tdk dikejar-kejar kayak Rempang"";0;0;0;0;in;1560912596710346753;1709381301923635399;namiraf1;https://twitter.com/namiraf1/status/1710040402404028515",,,,,,,,
"Thu Oct 05 21:02:05 +0000 2023;1710037667797495989;""Progres Relokasi Rempang Eco City"," 16 Warga Sudah Tempati Hunian Sementara  https://t.co/V1Nx3FnIJf"";0;0;0;0;in;454638631;1710037667797495989;KompasProperti;https://twitter.com/KompasProperti/status/1710037667797495989",,,,,,,,,,
